1,1,,1,Life,,Banish
1,0,1,,Unlimited,,Cancel
1,2,1,,,,"Equipment: Weapon, Short"
1,2,2,,,,Experienced
1,1,,1,Refresh,,Force Barrier
1,1,4,3,Balls,,Force Bolt
1,1,,1,Life,,Heat Weapon
1,1,,1,Life,,Mend
1,1,,1,Life,3,Shove
2,1,,1,Life,,Astral Intervention
2,1,,1,Life,,Break Concentration
2,1,3,2,Balls,,Entangle
2,1,,1,Refresh,,Innate
2,1,,1,Refresh,,Planar Grounding
2,1,,1,Life,,Release
2,1,3,1,Balls,,Suppression Bolt
2,1,2,1,Life,,Teleport
3,1,,1,Refresh,3,Dispel Magic
3,1,,1,Refresh,,Dragged Below
3,1,2,1,Life,,Extension
3,1,,1,Refresh,,Greater Mend
3,1,,1,Life,,Hold Person
3,1,3,2,Balls,,Iceball
3,1,4,1,Balls,,Lightning Bolt
3,1,,2,Life,,Ravage
3,1,,1,Refresh,,Shatter Weapon
3,1,,1,Refresh,,Throw
4,1,,2,Refresh,,Destroy Armor
4,1,,1,Refresh,,Dimensional Rift
4,1,4,1,Balls,,Fireball
4,1,,1,Refresh,,Icy Blast
4,1,,1,Refresh,,Shatter
4,1,,1,Refresh,,Suppress Aura
4,1,2,1,Life,,Swift
4,1,,1,Refresh,,Vampirism
4,1,,1,Refresh,3,Wounding
5,1,2,1,Life,,Ambulant
5,1,,1,Refresh,,Contagion
5,4,1,,,,"Equipment: Weapon, Long"
5,1,4,1,Balls,,Phase Bolt
5,1,2,1,Refresh,,Pyrotechnics
5,1,2,1,Life,,Steal Life Essence
5,1,2,1,Refresh,,Void Touched
5,1,2,1,Refresh,,Ward Self
6,2,1,,,,Battlemage
6,1,2,1,Refresh,,Elemental Barrage
6,2,1,,,,Evoker
6,1,,1,Refresh,,Finger of Death
6,2,,1,Refresh,,Persistent
6,1,,1,Refresh,,Protection from Magic
6,2,1,1,Balls,,Sphere of Annihilation
6,2,1,,,,Warlock
6,1,,1,Refresh,,Word of Mending
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
